 A4GNT ,-,,,
 AAA1 ,-,,,
 AAAS ,-,,,
 AACS ,-,,,
 AADAT ,-,,,
 AAK1 ,-,,,
 AAMP ,-,,,
 AANAT ,-,,,
 AARS ,-,,,
 AARS2 ,-,,,
 AARSD1 ,-,,,
 AARSD1 ,-,,,
 AASDH ,-,,,
 AATF ,-,,,
 AATK ,-,,,
 ABCA10 ,-,,,
 ABCA11P ,-,,,
 ABCA12 ,-,,,
 ABCA13 ,-,,,
 ABCA5 ,-,,,
 ABCA7 ,-,,,
 ABCB1 ,-,,,
 ABCB10 ,-,,,
 ABCB5 ,-,,,
 ABCB6 ,-,,,
 ABCB9 ,-,,,
 ABCB9 ,-,,,
 ABCC1 ,-,,,
 ABCC5 ,-,,,
 ABCC8 ,-,,,
 ABCD2 ,-,,,
 ABCD3 ,-,,,
 ABCE1 ,-,,,
 ABCF1 ,-,,,
 ABCF2 ,-,,,
 ABCG2 ,-,,,
 ABCG4 ,-,,,
 ABHD1 ,-,,,
 ABHD11 ,-,,,
 ABHD12 ,-,,,
 ABHD12B ,-,,,
 ABHD3 ,-,,,
 ABHD4 ,-,,,
 ABHD8 ,-,,,
 ABI1 ,-,,,
 ABI2 ,-,,,
 ABI3 ,-,,,
 ABI3 ,-,,,
 ABL1 ,-,,,
 ABL2 ,-,,,
 ABLIM2 ,-,,,
 ABO ,-,,,
 ABP1 ,-,,,
 ABR ,-,,,
 ABRA ,-,,,
 ABTB1 ,-,,,
 ACACA ,-,,,
 ACAD10 ,-,,,
 ACAD10 ,-,,,
 ACAD11 ,-,,,
 ACAD11 ,-,,,
 ACAD8 ,-,,,
 ACAD8 ,-,,,
 ACAD9 ,-,,,
 ACADS ,-,,,
 ACADVL ,-,,,
 ACAN ,-,,,
 ACAP1 ,-,,,
 ACAP3 ,-,,,
 ACBD4 ,-,,,
 ACBD6 ,-,,,
 ACCN1 ,-,,,
 ACCN2 ,-,,,
 ACCN3 ,-,,,
 ACCN4 ,-,,,
 ACCS ,-,,,
 ACD ,-,,,
 ACD ,-,,,
 ACER1 ,-,,,
 ACLY ,-,,,
 ACMSD ,-,,,
 ACN9 ,-,,,
 ACO1 ,-,,,
 ACOT1 ,-,,,
 ACOT11 ,-,,,
 ACOT11 ,-,,,
 ACOT13 ,-,,,
 ACOT2 ,-,,,
 ACOT6 ,-,,,
 ACOT8 ,-,,,
 ACP1 ,-,,,
 ACP1 ,-,,,
 ACP6 ,-,,,
 ACPL2 ,-,,,
 ACPP ,-,,,
 ACPT ,-,,,
 ACR ,-,,,
 ACRV1 ,-,,,
 ACSBG1 ,-,,,
 ACSBG2 ,-,,,
 ACSF3 ,-,,,
 ACSM1 ,-,,,
 ACSM2A ,-,,,
 ACSS1 ,-,,,
 ACTA1 ,-,,,
 ACTBL2 ,-,,,
 ACTC1 ,-,,,
 ACTG2 ,-,,,
 ACTL6A ,-,,,
 ACTL8 ,-,,,
 ACTN1 ,-,,,
 ACTN2 ,-,,,
 ACTN3 ,-,,,
 ACTN4 ,-,,,
 ACTR10 ,-,,,
 ACTR1B ,-,,,
 ACTR3 ,-,,,
 ACTR3B ,-,,,
 ACTR5 ,-,,,
 ACVR1 ,-,,,
 ACVR2A ,-,,,
 ACVR2B ,-,,,
 ACVR2B ,-,,,
 ACVRL1 ,-,,,
 ACY3 ,-,,,
 ACYP2 ,-,,,
 ADAD2 ,-,,,
 ADAL ,-,,,
 ADAM10 ,-,,,
 ADAM10 ,-,,,
 ADAM12 ,-,,,
 ADAM15 ,-,,,
 ADAM15 ,-,,,
 ADAM17 ,-,,,
 ADAM20 ,-,,,
 ADAM21 ,-,,,
 ADAM21P1 ,-,,,
 ADAM22 ,-,,,
 ADAM23 ,-,,,
 ADAM28 ,-,,,
 ADAM6 ,-,,,
 ADAM8 ,-,,,
 ADAMDEC1 ,-,,,
 ADAMTS1 ,-,,,
 ADAMTS12 ,-,,,
 ADAMTS13 ,-,,,
 ADAMTS14 ,-,,,
 ADAMTS17 ,-,,,
 ADAMTS2 ,-,,,
 ADAMTS5 ,-,,,
 ADAMTS7 ,-,,,
 ADAMTSL1 ,-,,,
 ADAMTSL2 ,-,,,
 ADAMTSL3 ,-,,,
 ADAMTSL4 ,-,,,
 ADAR ,-,,,
 ADARB1 ,-,,,
 ADARB1 ,-,,,
 ADARB2 ,-,,,
 ADC ,-,,,
 ADCK4 ,-,,,
 ADCK4 ,-,,,
 ADCK5 ,-,,,
 ADCY3 ,-,,,
 ADCY6 ,-,,,
 ADCY8 ,-,,,
 ADD3 ,-,,,
 ADH1C ,-,,,
 ADH7 ,-,,,
 ADIG ,-,,,
 ADIPOR1 ,-,,,
 ADM2 ,-,,,
 ADNP ,-,,,
 ADO ,-,,,
 ADORA1 ,-,,,
 ADORA2A ,-,,,
 ADPRH ,-,,,
 ADPRHL1 ,-,,,
 ADPRHL2 ,-,,,
 ADRA1A ,-,,,
 ADRA1B ,-,,,
 ADRA2B ,-,,,
 ADRA2C ,-,,,
 ADRBK2 ,-,,,
 ADRM1 ,-,,,
 ADSL ,-,,,
 ADSS ,-,,,
 ADSSL1 ,-,,,
 AEN ,-,,,
 AES ,-,,,
 AFAP1L2 ,-,,,
 AFF3 ,-,,,
 AFG3L1 ,-,,,
 AFG3L1 ,-,,,
 AFG3L2 ,-,,,
 AFM ,-,,,
 AFMID ,-,,,
 AFP ,-,,,
 AFTPH ,-,,,
 AGA ,-,,,
 AGAP1 ,-,,,
 AGAP2 ,-,,,
 AGAP2 ,-,,,
 AGAP3 ,-,,,
 AGAP4 ,-,,,
 AGAP5 ,-,,,
 AGAP6 ,-,,,
 AGAP7 ,-,,,
 AGAP8 ,-,,,
 AGAP8 ,-,,,
 AGBL2 ,-,,,
 AGBL3 ,-,,,
 AGBL4 ,-,,,
 AGBL5 ,-,,,
 AGER ,-,,,
 AGFG2 ,-,,,
 AGPAT1 ,-,,,
 AGPAT1 ,-,,,
 AGPAT4 ,-,,,
 AGPAT4 ,-,,,
 AGPAT9 ,-,,,
 AGR2 ,-,,,
 AGRN ,-,,,
 AGRP ,-,,,
 AGRP ,-,,,
 AGTR1 ,-,,,
 AGTRAP ,-,,,
 AGXT2 ,-,,,
 AGXT2L2 ,-,,,
 AHCYL2 ,-,,,
 AHI1 ,-,,,
 AHI1 ,-,,,
 AHNAK ,-,,,
 AHR ,-,,,
 AHSA1 ,-,,,
 AHSA2 ,-,,,
 AHSP ,-,,,
 AIDA ,-,,,
 AIF1L ,-,,,
 AIFM2 ,-,,,
 AIFM3 ,-,,,
 AIM1L ,-,,,
